name,stars,title,reviews,ASIN
Maxwell,2.0 out of 5 stars,"It looks pretty, but the space bar is trash.",I purchased this keyboard for my at home office setup. I have an older 4+ year old mechanical keyboard that I took back to my office now that work from home has ended for me. Would that I could have purchased a second of that 4+ year old mechanical keyboard. It worked like a charm. This one just does not.,B08MWP6CK4
James,4.0 out of 5 stars,Decent for the price with one annoying feature,"It's my first mechanical keyboard and I'm generally happy with it, especially for the price as compared to more expensive ones. But it does have a tendency to double-tap letters sometimes, requiring me to go back and delete the duplicate letter. This doesn't happen often enough to significantly impair the usefulness of the keyboard, but it's annoying when it does happen.",B08MWP6CK4
Pen Name,5.0 out of 5 stars,Great deal!,A little disappointed in how loud the buttons are but other than that I'm happy,B08MWP6CK4
Shyanne Baker,3.0 out of 5 stars,Am i the only one having this issue?,I do enjoy this- ive noticed certain keys will just randomly not work. I play a decent amount of games that use W A S D and QWER and ive noticed some times i cant press them rapidly and sometimes they will not work or register that they are being pressed. Other than that i like it,B08MWP6CK4
Angel Martínez,5.0 out of 5 stars,Teclado,Muy buen producto llego en perfectas condiciones.,B08MWP6CK4
Fox Mulder,2.0 out of 5 stars,lasted 7 months,"purchased in July 2021. easy setup just plug and play. looks nice and seems well made, however it is now Feb 2022 and some of the keys are not working correctly. Space bar is page down and so are a few of the letter keys. Will look for another brand for replacement since return window has passed.",B08MWP6CK4
AC,5.0 out of 5 stars,Very nice,"Very nice, first mechanical keyboard. Very loud clicky clack key noise. Wife thought I was using a type writer!",B08MWP6CK4
paladin,5.0 out of 5 stars,Great eye candy,The colors are great. You can change lighting designs and motion.,B08MWP6CK4
Lisa Sorenson,1.0 out of 5 stars,Keyboard was shipped with no packing or foam. I should have sent it back.,Keys sticking,B08MWP6CK4
Amazon Customer,1.0 out of 5 stars,Terrible keyboard - do not buy,"Just a few weeks after I got it, the space bar started working only like half the time. now the E key has stopped working almost completely as well. People buy a mechanical keyboard to avoid these types of issues, and this keyboard has been nothing but trouble.",B08MWP6CK4
Lizanne Michael,4.0 out of 5 stars,Game mouse using for office work,"I really like this gaming mouse because of the colors it’s got like a really cool set of colors that it changes to. I also like that it’s not like a plastic tail. It’s a little difficult to handle, it’s kind of slow, but I guess that’s what you get with this gaming mouse. I do use it for work and it’s fine. I intentionally purchased it to use for work.",B08615TQ9C
Phaser,4.0 out of 5 stars,"Nice, but heavy","Overall a great product. The only reason why I'm giving it four stars instead of five is the weight. As a gamer, this mouse was more bulky and heavier than I originally thought it would be. The main thing about the product is also the lighting. It's cool and all, but I would prefer it so I can change the color to what I want without it being a specific DPI. If you're using this as an everyday mouse, great purchase. If you're using this for gaming, it's still a great mouse. It's cheap, and actually nice. These are just my opinions, but I'm sure you'd love the mouse.",B08615TQ9C
D. Mathis,4.0 out of 5 stars,Fiodio Wired Gaming Mouse has great feel,Fiodio Wired Gaming Mouse I use mostly for laptop has good result for ergonomics and has a decent price.,B08615TQ9C
Casey Martinez,3.0 out of 5 stars,Not for big hands,My thumb is always touching the extra 2 thumb buttons which doesn't feel good. If you have a large hand that could be an issue for long term use. Everything else is good.,B08615TQ9C
Aaron,4.0 out of 5 stars,Comfortable and Large; but not Silent,"Very comfortable for my hand and also has almost a minky-soft feel to the plastic. Programmable buttons work great, it's a very good size, and it cycles through colors nicely. Only problem is that it is about the same volume as a regular computer mouse click despite being advertised as silent; no problem for me though. Also you may have to uninstall and reinstall the device to avoid mouse lag when you first get it but it only takes a couple minutes and for a guide on win10 I used  ComputerSluggish Tutorial's video on it. Overall very good for price. Will update if something goes wrong.",B08615TQ9C
Skytan,4.0 out of 5 stars,ok,it's ok,B08615TQ9C
briana weekly,3.0 out of 5 stars,The scroll wheel…,It’s a good mouse for the money but the scroll wheel is recessed into the body and makes it hard to use.,B08615TQ9C
Lillian Vargas,4.0 out of 5 stars,Love the colors,"I love the colors on this mouse. It's very nice to look at. It's very responsive too, however, it's a little too large for the size of my hands. I have to stretch to reach the scrolling wheel.",B08615TQ9C
Gabriel Canuteson,3.0 out of 5 stars,"Slow, not Good for gaming.",The mouse is comfortable and can support a large hand but the response time is less than ideal and it feels very sluggish.,B08615TQ9C
Whom ever this may be,3.0 out of 5 stars,Maybe,"3/5 wouldn’t try again, nothing special.",B08615TQ9C
Wilson,1.0 out of 5 stars,No serve después de un mes. Not working anymore., It stopped working after a month! Don’t buy.,
Aaron T.,1.0 out of 5 stars,Not durable,Was great for a couple of months. Then the T key started stittttctktittngt.,
Karen,4.0 out of 5 stars,Gaming Keyboard,"A nice gaming keyboard, but not as comfortable for typing.",
J. Rose,4.0 out of 5 stars,Very clicky!,"I mostly wanted this keyboard because I adore the loud, clicky sound of mechanical keyboards. As a child of the 80s, I learned how to type on a wonderful, clunky Packard Bell keyboard and it was amazing. All the keyboards I've had since have been thin membrane-type keyboards, and there's no sensory feedback with those at all. I'm so happy that keyboards like this are available for people like me who do a lot of typing and like to make a lot of noise (and be able to really feel each key) while we do it.",
Aderyn,4.0 out of 5 stars,This is a very satisfactory keyboard,"I am not a gamer, but my job requires me to use a keyboard almost nonstop, so I’m very picky about my keyboards.  I love having the clicky feedback, especially when I really get to rocking and rolling on the keys, so these blue switches are just right for me.  The keys engage with a very light touch, very kind to your fingers and hands, and the rollover function seems excellent; I have not managed to “out type” them yet, and I’m speedy.  I love the colorful backlighting, and it’s helpful since my workdays often stretch into the late night.  Keys can be lighted selectively, which seems as if it would be a nice advantage for gamers.  It has small retractable feet on the back edge so you can adjust the tilt to your preference.",
Victoria,4.0 out of 5 stars,Good mechanical keyboard for the price!,My son was excited to test this out and see how it compared to the more expensive one he currently has.,
Kristen B,4.0 out of 5 stars,Great after breaking in,"So at first I thought I had a dude, and I could still have as when the keyboard came it was loose in the box and not packaged well.  The keys didn't work well at the start, had to "" break"" them in.  After a month of use though the keys work great and love that it has a 10-key.",
Shaun H20,4.0 out of 5 stars,Very nice keyboard,"This is a nice keyboard that I'm using for my laptop in the other room.  It's not as loud and ""clicky"" as my very expensive Corsair but overall it takes very little time to get used to. Also, the RGB makes it look really nice although you have limited control of the lighting effects of course unlike the Corsair (which uses iCue and can give you all sorts of crazy effects for your keyboard).  I'd definitely recommend this keyboard, it's a good value.",
